customer_tweet_id,customer_author_id,customer_created_at,customer_text,support_reply_tweet_id,support_reply_author_id,support_reply_created_at,support_reply_text,document_text
23,115716,Tue Oct 31 22:16:05 +0000 2017,@Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office,,,,,Customer: @Ask_Spectrum The correct way to do it is via an OCS Account Takeover and email Consent Form it does not need to be done in a local office
24,115716,Tue Oct 31 22:13:02 +0000 2017,@Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information,21.0,Ask_Spectrum,Tue Oct 31 22:14:37 +0000 2017,@115716 What information is incorrect? ^JK,"Customer: @Ask_Spectrum That is INCORRECT information I have the form in front of me that is faxed over-maybe you need to maintain up to date information
Support: @115716 What information is incorrect? ^JK"
29,115716,Tue Oct 31 22:01:35 +0000 2017,actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI,28.0,Ask_Spectrum,Tue Oct 31 22:05:37 +0000 2017,@115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj,"Customer: actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI
Support: @115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj"
31,115717,Tue Oct 31 22:06:54 +0000 2017,"Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!",30.0,Ask_Spectrum,Tue Oct 31 22:12:09 +0000 2017,"@115717 Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG","Customer: Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!
Support: @115717 Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG"
33,115718,Tue Oct 31 22:06:56 +0000 2017,My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik,32.0,Ask_Spectrum,Tue Oct 31 22:10:08 +0000 2017,@115718 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB,"Customer: My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik
Support: @115718 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB"
35,115719,Tue Oct 31 22:49:16 +0000 2017,"@VerizonSupport I finally got someone that helped me, thanks!",37.0,VerizonSupport,Tue Oct 31 22:52:00 +0000 2017,"@115719 Awesome! If you ever need us we are just a tweet away.
^HSB","Customer: @VerizonSupport I finally got someone that helped me, thanks!
Support: @115719 Awesome! If you ever need us we are just a tweet away.
^HSB"
36,115719,Tue Oct 31 22:10:46 +0000 2017,somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service,34.0,VerizonSupport,Tue Oct 31 22:13:33 +0000 2017,"@115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB","Customer: somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service
Support: @115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB"
39,115720,Tue Oct 31 22:12:16 +0000 2017,@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz,38.0,VerizonSupport,Tue Oct 31 22:13:30 +0000 2017,"@115720 Have your friend message us.
^ACM","Customer: @VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz
Support: @115720 Have your friend message us.
^ACM"
41,115721,Tue Oct 31 22:24:55 +0000 2017,@VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...,43.0,VerizonSupport,Tue Oct 31 22:29:00 +0000 2017,"@115721 We would not be able to verify anything without authenticating your account.
^JAY","Customer: @VerizonSupport What else can I provide? They refuse to help me because they cannot validate the account...
Support: @115721 We would not be able to verify anything without authenticating your account.
^JAY"
44,115721,Tue Oct 31 22:32:06 +0000 2017,"@VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?",45.0,VerizonSupport,Tue Oct 31 22:36:29 +0000 2017,"@115721 We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. 
^HSB","Customer: @VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?
Support: @115721 We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. 
^HSB"
42,115721,Tue Oct 31 22:06:21 +0000 2017,@115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk,40.0,VerizonSupport,Tue Oct 31 22:12:00 +0000 2017,"@115721 Please follow and DM us so that we can look into this order. 
^HSB","Customer: @115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk
Support: @115721 Please follow and DM us so that we can look into this order. 
^HSB"
46,115722,Tue Oct 31 22:04:29 +0000 2017,"@115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP",,,,,"Customer: @115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP"
47,115721,Tue Oct 31 22:01:42 +0000 2017,@115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..,,,,,Customer: @115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..
48,115722,Tue Oct 31 21:49:31 +0000 2017,"@115721 Are you referring to wireless or residential service?
^JAY",,,,,"Customer: @115721 Are you referring to wireless or residential service?
^JAY"
49,115721,Tue Oct 31 21:42:09 +0000 2017,"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!",,,,,"Customer: @115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!"
51,115723,Tue Oct 31 22:04:57 +0000 2017,"@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet",50.0,VerizonSupport,Tue Oct 31 22:07:30 +0000 2017,"@115723 Is the light on top red?
^JAY","Customer: @VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet
Support: @115723 Is the light on top red?
^JAY"
53,115723,Tue Oct 31 21:58:39 +0000 2017,@VerizonSupport Just randomly boots me offline there it goes again,52.0,VerizonSupport,Tue Oct 31 22:03:57 +0000 2017,"@115723 Did the lights change on the router when this happened?
^JAY","Customer: @VerizonSupport Just randomly boots me offline there it goes again
Support: @115723 Did the lights change on the router when this happened?
^JAY"
55,115723,Tue Oct 31 20:09:13 +0000 2017,@VerizonSupport Yep,54.0,VerizonSupport,Tue Oct 31 20:11:54 +0000 2017,"@115723 Do you have our Fios service?  When services go out, does the internet light on the router change color? ^BCW","Customer: @VerizonSupport Yep
Support: @115723 Do you have our Fios service?  When services go out, does the internet light on the router change color? ^BCW"
57,115723,Tue Oct 31 19:58:22 +0000 2017,@VerizonSupport Cuts out every 20 minutes this is ridiculous,56.0,VerizonSupport,Tue Oct 31 20:02:25 +0000 2017,"@115723 Are all your services cutting out?
^ACM","Customer: @VerizonSupport Cuts out every 20 minutes this is ridiculous
Support: @115723 Are all your services cutting out?
^ACM"
59,115723,Tue Oct 31 19:54:51 +0000 2017,@115722 is the worst ISP I’ve ever had,58.0,VerizonSupport,Tue Oct 31 19:57:30 +0000 2017,@115723 What did we do to make you feel this way and how can we fix things between us? ^KMG,"Customer: @115722 is the worst ISP I’ve ever had
Support: @115723 What did we do to make you feel this way and how can we fix things between us? ^KMG"
61,115724,Tue Oct 31 22:00:36 +0000 2017,".@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt;
When can we expect a fix ?",60.0,VerizonSupport,Tue Oct 31 22:04:29 +0000 2017,"@115724 In what area are you located? All of your services are down at this time?
^HSB","Customer: .@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt;
When can we expect a fix ?
Support: @115724 In what area are you located? All of your services are down at this time?
^HSB"
63,115727,Tue Oct 31 21:56:55 +0000 2017,@115725 fix your app it won't even open,62.0,VerizonSupport,Tue Oct 31 22:00:29 +0000 2017,"@115727 Which app are you referring too? 
^ACM","Customer: @115725 fix your app it won't even open
Support: @115727 Which app are you referring too? 
^ACM"
65,115728,Tue Oct 31 22:15:30 +0000 2017,@ChipotleTweets @ChipotleTweets Becky is very nice,,,,,Customer: @ChipotleTweets @ChipotleTweets Becky is very nice
66,115728,Tue Oct 31 22:03:38 +0000 2017,"@ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn",64.0,ChipotleTweets,Tue Oct 31 22:14:28 +0000 2017,@115728 I still think you look great! -Becky,"Customer: @ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn
Support: @115728 I still think you look great! -Becky"
69,115729,Tue Oct 31 22:03:32 +0000 2017,@ChipotleTweets messed up today and didn’t give me my $3 burrito although I was dressed up 😭,68.0,ChipotleTweets,Tue Oct 31 22:14:00 +0000 2017,@115729 I'm so sorry about that. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky,"Customer: @ChipotleTweets messed up today and didn’t give me my $3 burrito although I was dressed up 😭
Support: @115729 I'm so sorry about that. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky"
71,115730,Tue Oct 31 22:03:06 +0000 2017,hey @ChipotleTweets wanna come to Mammoth. I'll at least eat there once a week i promise,70.0,ChipotleTweets,Tue Oct 31 22:13:29 +0000 2017,@115730 Hopefully we'll get there at some point! -Becky,"Customer: hey @ChipotleTweets wanna come to Mammoth. I'll at least eat there once a week i promise
Support: @115730 Hopefully we'll get there at some point! -Becky"
74,115731,Tue Oct 31 22:01:57 +0000 2017,"@ChipotleTweets I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!",73.0,ChipotleTweets,Tue Oct 31 22:12:39 +0000 2017,@115731 Guac on! I'm happy it was such a great experience. -Becky,"Customer: @ChipotleTweets I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!
Support: @115731 Guac on! I'm happy it was such a great experience. -Becky"
76,115731,Tue Oct 31 20:21:10 +0000 2017,When you're the only one in costume #boorito @ChipotleTweets,75.0,ChipotleTweets,Tue Oct 31 20:37:31 +0000 2017,@115731 It's because you're smart. -Tara,"Customer: When you're the only one in costume #boorito @ChipotleTweets
Support: @115731 It's because you're smart. -Tara"
78,115732,Tue Oct 31 22:01:40 +0000 2017,@ChipotleTweets no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct,77.0,ChipotleTweets,Tue Oct 31 22:11:38 +0000 2017,@115732 That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky,"Customer: @ChipotleTweets no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct
Support: @115732 That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky"
80,115733,Tue Oct 31 22:01:32 +0000 2017,"@ChipotleTweets If you get queso or quac on you're bowl, its extra?",79.0,ChipotleTweets,Tue Oct 31 22:11:12 +0000 2017,@115733 Nope! Still just the $3. -Becky,"Customer: @ChipotleTweets If you get queso or quac on you're bowl, its extra?
Support: @115733 Nope! Still just the $3. -Becky"
153,115734,Tue Oct 31 22:01:03 +0000 2017,"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?",152.0,ChipotleTweets,Tue Oct 31 22:10:33 +0000 2017,"@115734 I mean, Boorito is basically the adult version of Halloween... -Becky","Customer: Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?
Support: @115734 I mean, Boorito is basically the adult version of Halloween... -Becky"
155,115735,Tue Oct 31 22:00:46 +0000 2017,@ChipotleTweets Thank you @ChipotleTweets for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife,154.0,ChipotleTweets,Tue Oct 31 22:09:00 +0000 2017,@115735 I'm so glad we could help. Who did you work with? I'd like to share the praise. -Becky,"Customer: @ChipotleTweets Thank you @ChipotleTweets for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife
Support: @115735 I'm so glad we could help. Who did you work with? I'd like to share the praise. -Becky"
156,115735,Mon Oct 23 03:19:06 +0000 2017,So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice,,,,,Customer: So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice
159,115736,Tue Oct 31 22:00:10 +0000 2017,"Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones",158.0,ChipotleTweets,Tue Oct 31 22:08:00 +0000 2017,@115736 All of our U.S. locations are participating! -Becky,"Customer: Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones
Support: @115736 All of our U.S. locations are participating! -Becky"
161,115737,Tue Oct 31 21:59:25 +0000 2017,"@ChipotleTweets Tried, didn't work. How rude :/",160.0,ChipotleTweets,Tue Oct 31 22:06:55 +0000 2017,@115737 My apologies for that. Just sent you a DM to help. -Becky,"Customer: @ChipotleTweets Tried, didn't work. How rude :/
Support: @115737 My apologies for that. Just sent you a DM to help. -Becky"
163,115737,Tue Oct 31 19:43:47 +0000 2017,@ChipotleTweets can I dress up as myself and still qualify for a BOORITO?,162.0,ChipotleTweets,Tue Oct 31 19:51:00 +0000 2017,@115737 Give it a try. -Tara,"Customer: @ChipotleTweets can I dress up as myself and still qualify for a BOORITO?
Support: @115737 Give it a try. -Tara"
165,115738,Tue Oct 31 21:58:28 +0000 2017,"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets",164.0,ChipotleTweets,Tue Oct 31 22:03:32 +0000 2017,"@115738 That's the best kind of trick-or-treating. All treats, my friend. -Becky","Customer: Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets
Support: @115738 That's the best kind of trick-or-treating. All treats, my friend. -Becky"
167,115739,Tue Oct 31 21:57:58 +0000 2017,@ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr,166.0,ChipotleTweets,Tue Oct 31 22:02:25 +0000 2017,@115739 That's incredibly concerning. Please provide more details so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky,"Customer: @ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr
Support: @115739 That's incredibly concerning. Please provide more details so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky"
169,115740,Tue Oct 31 21:57:23 +0000 2017,$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️,168.0,ChipotleTweets,Tue Oct 31 22:01:39 +0000 2017,@115740 Bummer. I'm so sorry. How far away is the closest location? -Becky,"Customer: $3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️
Support: @115740 Bummer. I'm so sorry. How far away is the closest location? -Becky"
171,115741,Tue Oct 31 21:57:23 +0000 2017,@ChipotleTweets Also I got the onesie at target. So cozy,170.0,ChipotleTweets,Tue Oct 31 22:01:00 +0000 2017,@115741 Noted 😊 -Becky,"Customer: @ChipotleTweets Also I got the onesie at target. So cozy
Support: @115741 Noted 😊 -Becky"
172,115741,Tue Oct 31 21:57:08 +0000 2017,@ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight,,,,,Customer: @ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight
175,115741,Tue Oct 31 21:54:13 +0000 2017,Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭,174.0,ChipotleTweets,Tue Oct 31 21:56:06 +0000 2017,"@115741 You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky","Customer: Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭
Support: @115741 You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky"
177,115742,Tue Oct 31 21:57:19 +0000 2017,@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T,176.0,ChipotleTweets,Tue Oct 31 22:01:00 +0000 2017,@115742 I love it! Thanks so much for stopping by. -Becky,"Customer: @ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T
Support: @115742 I love it! Thanks so much for stopping by. -Becky"
179,115744,Tue Oct 31 22:17:05 +0000 2017,@AskPlayStation @115743 Can I get help already??,,,,,Customer: @AskPlayStation @115743 Can I get help already??
180,115743,Tue Oct 31 08:17:37 +0000 2017,"@AskPlayStation So, what's the november ps plus free game?",178.0,AskPlayStation,Tue Oct 31 22:14:49 +0000 2017,@115743 There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC,"Customer: @AskPlayStation So, what's the november ps plus free game?
Support: @115743 There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC"
183,115745,Tue Oct 31 22:06:44 +0000 2017,@AskPlayStation It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.,182.0,AskPlayStation,Tue Oct 31 22:09:50 +0000 2017,"@115745  Glad to know that is downloading, please feel free to contact us if you have further concerns.","Customer: @AskPlayStation It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.
Support: @115745  Glad to know that is downloading, please feel free to contact us if you have further concerns."
185,115745,Tue Oct 31 08:14:24 +0000 2017,@AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..,184.0,AskPlayStation,Tue Oct 31 22:05:06 +0000 2017,@115745 Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?,"Customer: @AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..
Support: @115745 Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?"
188,115746,Tue Oct 31 07:58:24 +0000 2017,@AskPlayStation can i block a community from sending me invites to something i dont want to join,187.0,AskPlayStation,Tue Oct 31 22:06:34 +0000 2017,@115746  Glad to help.  Please share the details of this issue in our Community forum for further investigation: https://t.co/F3J4l2vJHb,"Customer: @AskPlayStation can i block a community from sending me invites to something i dont want to join
Support: @115746  Glad to help.  Please share the details of this issue in our Community forum for further investigation: https://t.co/F3J4l2vJHb"
191,115747,Tue Oct 31 18:29:42 +0000 2017,We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB,190.0,marksandspencer,Tue Oct 31 21:54:47 +0000 2017,"@115747 Glad you had fun, Sarah! We heard Count Collin can really suck the life out of the party  . . . :P","Customer: We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB
Support: @115747 Glad you had fun, Sarah! We heard Count Collin can really suck the life out of the party  . . . :P"
193,115748,Tue Oct 31 17:58:45 +0000 2017,"‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word?
Is it really necessary? 

The pair of ‘em were suffocating. https://t.co/ff2bmOVido",192.0,marksandspencer,Tue Oct 31 21:48:52 +0000 2017,"@115748 We've let our team know we can do better, Joel. Thanks for sharing :)","Customer: ‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word?
Is it really necessary? 

The pair of ‘em were suffocating. https://t.co/ff2bmOVido
Support: @115748 We've let our team know we can do better, Joel. Thanks for sharing :)"
195,115749,Tue Oct 31 23:40:34 +0000 2017,@marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!,199.0,marksandspencer,Wed Nov 01 13:42:19 +0000 2017,"@115749 As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks","Customer: @marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!
Support: @115749 As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks"
200,115749,Wed Nov 01 15:54:37 +0000 2017,@marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.,,,,,Customer: @marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.
196,115749,Tue Oct 31 23:35:13 +0000 2017,"@marksandspencer ou must charge at least 5p a bag (including VAT) for carrier bags that are all of the following:

unused - it’s new and hasn’t already been used for sold goods to be taken away or delivered
plastic and 70 microns thick or less
it has handles, an opening and isn’t sealed",,,,,"Customer: @marksandspencer ou must charge at least 5p a bag (including VAT) for carrier bags that are all of the following:

unused - it’s new and hasn’t already been used for sold goods to be taken away or delivered
plastic and 70 microns thick or less
it has handles, an opening and isn’t sealed"
197,115749,Tue Oct 31 23:38:53 +0000 2017,"@marksandspencer aren’t require charge 4 a bag:
paper bags
shops in airports, or on board trains, aeroplanes or ships
bags which only contain certain items, such as unwrapped food, raw meat and fish where there is a food safety risk, prescription medicines, uncovered blades, seeds, bulbs &amp; 🌷s",,,,,"Customer: @marksandspencer aren’t require charge 4 a bag:
paper bags
shops in airports, or on board trains, aeroplanes or ships
bags which only contain certain items, such as unwrapped food, raw meat and fish where there is a food safety risk, prescription medicines, uncovered blades, seeds, bulbs &amp; 🌷s"
198,115749,Tue Oct 31 17:56:34 +0000 2017,@marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.,194.0,marksandspencer,Tue Oct 31 21:46:06 +0000 2017,"@115749 We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied","Customer: @marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.
Support: @115749 We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied"
202,115750,Tue Oct 31 20:20:57 +0000 2017,Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj,201.0,marksandspencer,Tue Oct 31 21:45:28 +0000 2017,@115750 Love the aesthetic of your Colin the 'Creeperpillar' and someday.... 🐛🦋👻 https://t.co/LFubix5E4y,"Customer: Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj
Support: @115750 Love the aesthetic of your Colin the 'Creeperpillar' and someday.... 🐛🦋👻 https://t.co/LFubix5E4y"
204,115751,Tue Oct 31 22:09:13 +0000 2017,"@MicrosoftHelps @XboxSupport Brilliant, thank you!",,,,,"Customer: @MicrosoftHelps @XboxSupport Brilliant, thank you!"
205,115751,Tue Oct 31 22:04:20 +0000 2017,"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?",203.0,MicrosoftHelps,Tue Oct 31 22:08:00 +0000 2017,"@115751 Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from @XboxSupport.","Customer: @MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?
Support: @115751 Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from @XboxSupport."
208,115752,Tue Oct 31 20:28:11 +0000 2017,@MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info,207.0,MicrosoftHelps,Tue Oct 31 22:04:21 +0000 2017,@115752 Help is here. To assist you in recovering your account we recommend that you contact our Answer desk team: https://t.co/7zSM1QXPMD.,"Customer: @MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info
Support: @115752 Help is here. To assist you in recovering your account we recommend that you contact our Answer desk team: https://t.co/7zSM1QXPMD."
